hostname,os,enviroment,country,node
ASESP001,AIX,Staging,Spain,1
HPIRL001,HP-UX,Production,Ireland,1
LPIRL001,Linux,Production,Ireland,1
SDDEU001,Solaris,Development,Germany,1
SIDEU001,Solaris,Integration,Germany,1
APITA001,AIX,Production,Italy,1
STESP001,Solaris,Testing,Spain,1
ATFRA001,AIX,Testing,France,1
HPIRL002,HP-UX,Production,Ireland,2
HTDEU001,HP-UX,Testing,Germany,1
ATNOR001,AIX,Testing,Norway,1
LPITA001,Linux,Production,Italy,1
LPDEU001,Linux,Production,Germany,1
LSITA001,Linux,Staging,Italy,1
LTIRL001,Linux,Testing,Ireland,1
HDFRA001,HP-UX,Development,France,1
LPDEU002,Linux,Production,Germany,2
LDNOR001,Linux,Development,Norway,1
ADDEU001,AIX,Development,Germany,1
LPESP001,Linux,Production,Spain,1
ATIRL001,AIX,Testing,Ireland,1
STDEU001,Solaris,Testing,Germany,1
LIFRA001,Linux,Integration,France,1
SPIRL001,Solaris,Production,Ireland,1
SPESP001,Solaris,Production,Spain,1
HINOR001,HP-UX,Integration,Norway,1
ASIRL001,AIX,Staging,Ireland,1
LPIRL002,Linux,Production,Ireland,2
SIIRL001,Solaris,Integration,Ireland,1
ASIRL002,AIX,Staging,Ireland,2
LPITA002,Linux,Production,Italy,2
LPITA003,Linux,Production,Italy,3
LIESP001,Linux,Integration,Spain,1
LPESP002,Linux,Production,Spain,2
HSFRA001,HP-UX,Staging,France,1
SPESP002,Solaris,Production,Spain,2
LTFRA001,Linux,Testing,France,1
SSDEU001,Solaris,Staging,Germany,1
SPESP003,Solaris,Production,Spain,3
ADDEU002,AIX,Development,Germany,2
LTDEU001,Linux,Testing,Germany,1
HPDEU001,HP-UX,Production,Germany,1
ASITA001,AIX,Staging,Italy,1
ASIRL003,AIX,Staging,Ireland,3
SSIRL001,Solaris,Staging,Ireland,1
LTESP001,Linux,Testing,Spain,1
LTESP002,Linux,Testing,Spain,2
SSIRL002,Solaris,Staging,Ireland,2
HSFRA002,HP-UX,Staging,France,2
APDEU001,AIX,Production,Germany,1
HTIRL001,HP-UX,Testing,Ireland,1
SPDEU001,Solaris,Production,Germany,1
LDDEU001,Linux,Development,Germany,1
LDDEU002,Linux,Development,Germany,2
ASDEU001,AIX,Staging,Germany,1
SSNOR001,Solaris,Staging,Norway,1
APESP001,AIX,Production,Spain,1
SPESP004,Solaris,Production,Spain,4
HTIRL002,HP-UX,Testing,Ireland,2
HTIRL003,HP-UX,Testing,Ireland,3
SSITA001,Solaris,Staging,Italy,1
APIRL001,AIX,Production,Ireland,1
ASITA002,AIX,Staging,Italy,2
STITA001,Solaris,Testing,Italy,1
LPDEU003,Linux,Production,Germany,3
HSESP001,HP-UX,Staging,Spain,1
LSESP001,Linux,Staging,Spain,1
STDEU002,Solaris,Testing,Germany,2
LTITA001,Linux,Testing,Italy,1
LTFRA002,Linux,Testing,France,2
LTITA002,Linux,Testing,Italy,2
SSIRL003,Solaris,Staging,Ireland,3
LTFRA003,Linux,Testing,France,3
LPDEU004,Linux,Production,Germany,4
HSESP002,HP-UX,Staging,Spain,2
HIDEU001,HP-UX,Integration,Germany,1
LTESP003,Linux,Testing,Spain,3
APIRL002,AIX,Production,Ireland,2
SIESP001,Solaris,Integration,Spain,1
LSIRL001,Linux,Staging,Ireland,1
LPESP003,Linux,Production,Spain,3
STDEU003,Solaris,Testing,Germany,3
LPIRL003,Linux,Production,Ireland,3
LIIRL001,Linux,Integration,Ireland,1
LPESP004,Linux,Production,Spain,4
LPIRL004,Linux,Production,Ireland,4
LPDEU005,Linux,Production,Germany,5
HTDEU002,HP-UX,Testing,Germany,2
LSFRA001,Linux,Staging,France,1
SSESP001,Solaris,Staging,Spain,1
APDEU002,AIX,Production,Germany,2
SPESP005,Solaris,Production,Spain,5
HDESP001,HP-UX,Development,Spain,1
STDEU004,Solaris,Testing,Germany,4
